Customer_ID,Churn
"K100130","1"
"K100150","1"
"K100180","1"
"K100270","0"
"K100290","1"
"K100360","1"
"K100430","1"
"K100500","0"
"K100740","0"
"K101010","0"
"K101090","1"
"K101140","1"
"K101150","1"
"K101160","1"
"K101220","1"
"K101330","1"
"K101390","1"
"K101510","1"
"K101560","1"
"K101690","1"
"K101760","1"
"K101780","1"
"K101800","1"
"K101870","0"
"K101910","1"
"K101990","1"
"K102050","1"
"K102250","1"
"K102460","0"
"K102540","0"
"K102600","0"
"K102620","0"
"K102630","0"
"K102640","0"
"K102650","0"
"K102660","0"
"K102670","1"
"K102690","0"
"K102700","0"
"K102710","0"
"K102730","0"
"K102740","1"
"K102750","0"
"K102760","1"
"K102780","0"
"K102790","0"
"K102800","0"
"K102830","0"
"K102840","0"
"K102850","1"
"K102860","0"
"K102880","0"
"K102900","0"
"K102910","0"
"K102920","0"
"K102940","0"
"K102950","0"
"K102970","0"
"K102990","0"
"K103000","0"
"K103010","0"
"K103020","0"
"K103030","0"
"K103040","0"
"K103050","0"
"K103060","0"
"K103090","0"
"K103110","0"
"K103120","0"
"K103130","0"
"K103140","0"
"K103150","0"
"K103160","0"
"K103180","0"
"K103200","0"
"K103210","1"
"K103220","0"
"K103230","0"
"K103240","0"
"K103250","0"
"K103260","0"
"K103270","0"
"K103280","0"
"K103290","0"
"K103300","0"
"K103310","0"
"K103330","0"
"K103350","0"
"K103370","0"
"K103380","1"
"K103390","0"
"K103400","0"
"K103410","0"
"K103420","0"
"K103430","0"
"K103440","0"
"K103460","0"
"K103470","0"
"K103480","0"
"K103500","0"
"K103510","0"
"K103520","0"
"K103540","0"
"K103550","0"
"K103560","1"
"K103570","0"
"K103580","0"
"K103590","0"
"K103610","0"
"K103630","0"
"K103640","0"
"K103650","0"
"K103660","0"
"K103680","0"
"K103710","0"
"K103720","0"
"K103730","0"
"K103740","0"
"K103760","0"
"K103770","0"
"K103780","0"
"K103790","0"
"K103800","0"
"K103830","0"
"K103840","0"
"K103850","0"
"K103860","0"
"K103890","0"
"K103900","0"
"K103910","0"
"K103920","0"
"K103930","0"
"K103940","0"
"K103950","1"
"K103960","0"
"K103970","0"
"K103980","0"
"K103990","0"
"K104000","0"
"K104010","0"
